city,province_id,province_name
Toronto,ON,Ontario
Montréal,QC,Quebec
Vancouver,BC,British Columbia
Calgary,AB,Alberta
Edmonton,AB,Alberta
Ottawa,ON,Ontario
Winnipeg,MB,Manitoba
Quebec City,QC,Quebec
Hamilton,ON,Ontario
Mississauga,ON,Ontario
Brampton,ON,Ontario
Surrey,BC,British Columbia
Kitchener,ON,Ontario
Halifax,NS,Nova Scotia
Laval,QC,Quebec
London,ON,Ontario
Victoria,BC,British Columbia
Markham,ON,Ontario
Oshawa,ON,Ontario
Vaughan,ON,Ontario
Windsor,ON,Ontario
Gatineau,QC,Quebec
Saskatoon,SK,Saskatchewan
Longueuil,QC,Quebec
Burnaby,BC,British Columbia
St. Catharines,ON,Ontario
Regina,SK,Saskatchewan
Oakville,ON,Ontario
Richmond,BC,British Columbia
Richmond Hill,ON,Ontario
Burlington,ON,Ontario
St. John's,NL,Newfoundland and Labrador
Kelowna,BC,British Columbia
Sherbrooke,QC,Quebec
Sudbury,ON,Ontario
Barrie,ON,Ontario
Abbotsford,BC,British Columbia
Lévis,QC,Quebec
Coquitlam,BC,British Columbia
Saguenay,QC,Quebec
Guelph,ON,Ontario
Trois-Rivières,QC,Quebec
Whitby,ON,Ontario
Cambridge,ON,Ontario
Milton,ON,Ontario
Ajax,ON,Ontario
Waterloo,ON,Ontario
Terrebonne,QC,Quebec
Moncton,NB,New Brunswick
Saanich,BC,British Columbia
White Rock,BC,British Columbia
Thunder Bay,ON,Ontario
Delta,BC,British Columbia
Nanaimo,BC,British Columbia
Brantford,ON,Ontario
Chatham,ON,Ontario
Clarington,ON,Ontario
Saint-Jérôme,QC,Quebec
Red Deer,AB,Alberta
Pickering,ON,Ontario
Lethbridge,AB,Alberta
Kamloops,BC,British Columbia
Saint-Jean-sur-Richelieu,QC,Quebec
Niagara Falls,ON,Ontario
Cape Breton,NS,Nova Scotia
Chilliwack,BC,British Columbia
Brossard,QC,Quebec
Maple Ridge,BC,British Columbia
Newmarket,ON,Ontario
